,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
0,1,Bitcoin,BTC,bitcoin,10807,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19615700.0,19615700.0,False,,1,,,,2024-02-02T07:05:00.000Z,43126.67722936507,19626406624.063217,-24.3347,0.03382613,2.36426145,7.80918714,-4.84125923,4.05644766,23.85301377,845959962528.0564,51.2063,905660221816.67,,2024-02-02T07:05:00.000Z,,,,,,2024-02-02 07:20:53.867238,
1,1027,Ethereum,ETH,ethereum,8359,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120182048.20956132,120182048.20956132,True,,2,,,,2024-02-02T07:05:00.000Z,2308.123828930445,7886420036.65274,-29.5268,0.12022975,1.58444304,4.31932347,-2.82409465,2.43869491,25.79029885,277395049282.156,16.7908,277395049282.16,,2024-02-02T07:05:00.000Z,,,,,,2024-02-02 07:20:53.867238,
2,825,Tether USDt,USDT,tether,73904,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96221815271.41391,99600769237.82428,True,,3,,,,2024-02-02T07:04:00.000Z,0.9995529770295954,34251715937.401966,-25.3306,-0.00163017,0.02252584,-0.00965476,-0.10557559,-0.05781205,-0.09036717,96178801909.73357,5.8223,99556245406.11,,2024-02-02T07:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-02-02 07:20:53.867238,
3,1839,BNB,BNB,bnb,2049,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149546782.88402456,149546782.88402456,False,,4,,,,2024-02-02T07:04:00.000Z,302.36947328654054,699585602.1140581,-18.1405,0.26962735,1.41844264,2.71566949,-5.22504572,29.54549413,30.41782545,45218381972.33914,2.7371,45218381972.34,,2024-02-02T07:04:00.000Z,,,,,,2024-02-02 07:20:53.867238,
4,5426,Solana,SOL,solana,623,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,435975484.0311685,568547505.6238325,True,,5,,,,2024-02-02T07:05:00.000Z,100.15867016442533,2541437335.1254745,-35.2838,0.82830003,5.92348218,14.72801754,-8.48504007,55.34707111,142.68215479,43666724704.85349,2.6434,56944962088.58,,2024-02-02T07:05:00.000Z,,,,,,2024-02-02 07:20:53.867238,
5,52,XRP,XRP,xrp,1223,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54436190886.0,99987935982.0,False,,6,,,,2024-02-02T07:05:00.000Z,0.5048592251449822,877151058.7168599,-35.6507,-0.25003557,2.41752953,-1.4432491,-20.48641341,-20.14957034,-17.81308085,27482613150.5503,1.6635,50485922514.5,,2024-02-02T07:05:00.000Z,,,,,,2024-02-02 07:20:53.867238,
6,3408,USDC,USDC,usd-coin,16517,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26885775073.10542,26885775073.10542,False,,7,,,,2024-02-02T07:05:00.000Z,1.0002575256465036,4880234122.829283,-33.7902,0.0142631,0.03167321,0.00548861,-0.00379441,0.03219352,0.01524055,26892698849.71287,1.628,26892698849.71,,2024-02-02T07:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-02-02 07:20:53.867238,
7,2010,Cardano,ADA,cardano,1053,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35424567931.321,36585743945.107,False,,8,,,,2024-02-02T07:04:00.000Z,0.5080464382323229,339092518.33477765,-29.2093,0.58418387,3.64243052,8.21179844,-17.38414458,23.46339562,56.05217486,17997325563.4266,1.0895,22862089720.45,,2024-02-02T07:04:00.000Z,,,,,,2024-02-02 07:20:53.867238,
8,5805,Avalanche,AVAX,avalanche,656,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,367104095.42751825,435137005.42751825,False,,9,,,,2024-02-02T07:04:00.000Z,34.43910253173451,461634462.6868393,-20.6029,0.73128841,3.94184384,12.08901044,-16.12817194,52.56604265,184.53232698,12642735582.247952,0.7653,24796153822.85,,2024-02-02T07:04:00.000Z,,,,,,2024-02-02 07:20:53.867238,
9,74,Dogecoin,DOGE,dogecoin,886,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142902786383.70523,142902786383.70523,True,,10,,,,2024-02-02T07:05:00.000Z,0.0795584873282888,231526853.08020353,-26.3535,-0.33544988,1.00685157,2.06302248,-13.25366936,-11.44210059,15.45289135,11369129519.685173,0.6882,11369129519.69,,2024-02-02T07:05:00.000Z,,,,,,2024-02-02 07:20:53.867238,
